version_id,parent_agent_code,agent_group_code,biz_mix,two_wheeler_category,type_of_business,cpan_prct,rto_cluster,rto_code,gross_vehicle_weight_ll,gross_vehicle_weight_ul,cubic_capacity_ll,cubic_capacity_ul,cpan_outgo,body_type,fuel_type,ncb_ll,ncb_ul,vehicle_age_ll,vehicle_age_ul,bus_type,total_gwp_ll,totalgwp_keybrok_agency_ll,totalgwp_pvt_car_ll,totalgwp_pvtcar1plus1_ll,totalgwp_satp_ll,totalgwp_tractor_ll,total_gwp_ul,totalgwp_keybrok_agency_ul,totalgwp_pvt_car_ul,totalgwp_pvtcar1plus1_ul,totalgwp_satp_ul,totalgwp_tractor_ul
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,NE4,"ML-01, ML-02, ML-03, ML-04, ML-05, ML-06, ML-07, ML-08, ML-09, ML-10, ML-11, ML-12, ML-13, ML-14",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,NE5,"MZ-01, MZ-02, MZ-03, MZ-04, MZ-05, MZ-06, MZ-07, MZ-08, MZ-09",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,21.00%,NE6,"NL-01, NL-02, NL-03, NL-04, NL-05, NL-06, NL-07, NL-08",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,NE7,"SK-01, SK-02, SK-03, SK-04, SK-05, SK-06, SK-07, SK-08",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,13.00%,NE8,"TR-01, TR-02, TR-03, TR-04, TR-05, TR-06, TR-07, TR-08",0.0,1000000000.0,1001,1501,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,12.00%,OD1,"OD-01, OD-03, OD-04, OD-05, OD-06, OD-09, OD-11, OD-13, OD-17, OD-19, OD-22, OD-24, OD-26, OD-28, OD-30, OD-32, OD-34, OD-35, OR-01, OR-03, OR-04, OR-05, OR-06, OR-09, OR-11, OR-13, OR-17, OR-19, OR-22, OR-24, OR-26, OR-28, OR-30, OR-32, OR-34, OR-35",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,12.00%,OD2,"OD-07, OD-08, OD-10, OD-12, OD-16, OD-18, OD-20, OD-23, OD-27, OD-31, OR-07, OR-08, OR-10, OR-12, OR-16, OR-18, OR-20, OR-23, OR-27, OR-31",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,OD3,"OD-21, OD-25, OD-29, OR-21, OR-25, OR-29",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,23.00%,OD4,"OD-02, OD-33, OR-02, OR-33",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
magma_common_july_Grid_Key_Broking_1,ANY,Agency,TP_PVT-CAR,ANY,ANY,40.00%,OD5,"OD-14, OD-15, OR-14, OR-15",0.0,1000000000.0,0,1001,GWP,ANY,Diesel,0,1000000,0,999999,ANY,-999999999,-999999999,-999999999,-999999999,200001,-999999999,999999999,999999999,999999999,999999999,999999999,999999999
